ContentArea,SkillName,EvidenceSource,RecommendedIntervention,ProgressMonitor,ExitCriterion,RetestRecommendation,SuggestedInterventionGroup
ELA,Main idea and author purpose,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
ELA,Inference and evidence,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
ELA,Vocabulary in context,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
ELA,Paired passage analysis,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
ELA,Revision and organization,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
ELA,Editing and conventions,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
ELA,Sentence structure,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
ELA,Development of ideas,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
ELA,Written composition,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
ELA,Argument analysis,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
ELA,Short constructed response,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
Math,Linear equations,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
Math,Systems of equations,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
Math,Functions,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
Math,Geometry and measurement,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
Math,Data analysis,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
Math,Probability/statistics,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
Math,Quadratics,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
Math,Algebraic expressions,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
Math,Ratios and proportional reasoning,SAT/TSIA/STAAR,Targeted mini-lesson + guided practice,Weekly common formative assessment,80% mastery twice,Retest after exit criterion,Lunch/Advisory group
